sample_size,outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
30,1,18,power,GEXP-5,0,5,885824.2715454388,499052.80812236754,1.625428398993646e-06,2.4844370015126103,14.369041847776725
30,1,19,power,GEXP-5,0,5,53603.6703788614,51092.50288582311,1.5360317850627999e-06,12.191171261690542,19.30991033824834
30,1,20,power,GEXP-5,0,5,951473.4528189214,531936.9612821293,1.4600853378087492e-06,2.936363656512249,11.665812779671953
30,2,1,power,GEXP-5,0,5,73680.79277853045,69059.23265306595,1.3940487660026264e-06,1.1231655244041825,14.566067632973255
30,2,2,power,GEXP-5,0,5,2503893.316365016,913515.5473175213,1.0941326735826923e-06,3.4600708660301507,11.805116464517717
30,2,3,power,GEXP-5,0,5,46089.42686264805,44281.81815645414,1.461002982415592e-06,8.575480648489503,13.365689731870438
30,2,4,power,GEXP-5,0,5,42777.42685878596,41118.927913025895,1.3882896567628523e-06,7.764712991880741,14.910488278563074
30,2,5,power,GEXP-5,0,5,600929.0289135976,392972.75094151683,1.5865117158804105e-06,0.8552907263726581,19.14406113386627
30,2,6,power,GEXP-5,0,5,1948910.1892893477,788714.8173873072,1.663921818929797e-06,11.294577452335147,15.964940721375156
30,2,7,power,GEXP-5,0,5,635396.0203471187,409733.77378571645,1.2406856760969147e-06,13.588057207759604,14.738666578270806
30,2,8,power,GEXP-5,0,5,378081.63318225334,284326.4620589882,1.3936775951715566e-06,1.187786462928294,10.72630265334655
30,2,9,power,GEXP-5,1,5,3072021.8263906073,996480.4558236648,1.00459814435861e-06,38.181572037104274,11.601456605361244
30,2,10,power,GEXP-5,1,5,575862.8050334605,406293.7388522659,1.2084241552696692e-06,19.28189774484747,12.180901966226571
30,2,11,power,GEXP-5,0,5,3914676.2759717363,1067538.5988894056,1.2681070170144442e-06,2.9970013809956937,13.73872784147145
30,2,12,power,GEXP-5,0,5,1023704.849745554,547166.0933825896,1.4829240448002272e-06,0.3895454136035923,10.56926450702684
30,2,13,power,GEXP-5,0,5,688036.0937640708,465527.78989355016,1.0312596806167324e-06,9.713635345386848,14.949961866774313
30,2,14,power,GEXP-5,0,5,2650173.844818434,912142.0570209329,1.1690543432430168e-06,9.60734143811149,11.57087329603733
30,2,15,power,GEXP-5,0,5,1359745.4668648895,665690.6342276192,1.1697451780292728e-06,2.3790082008470677,10.132995864802268
30,2,16,power,GEXP-5,0,5,34785.58936193503,33697.276946047925,1.4623203753760486e-06,1.06511620664004,14.345851391421792
30,2,17,power,GEXP-5,0,5,869236.0583891448,518902.38042435,1.196399788918487e-06,2.6698892488140054,11.104324733705873
30,2,18,power,GEXP-5,0,5,1605299.3741073583,714779.8975107685,1.296857815931285e-06,4.097886966573706,11.841265159452771
30,2,19,power,GEXP-5,1,5,742148.6813808823,457440.1441278204,1.5666210584648895e-06,45.693611328222694,12.79135262046183
30,2,20,power,GEXP-5,0,5,576727.1145431733,390226.93984407274,1.358937713250458e-06,0.6400939009944451,17.151677216240632
30,3,1,power,GEXP-5,0,5,171273.31839302316,149916.7279310481,1.2919020245316796e-06,2.8647678733084625,18.21792552044088
30,3,2,power,GEXP-5,0,5,522781.4818700571,355810.09258305235,1.3754192197632099e-06,0.8751384464621239,14.339166689587035
30,3,3,power,GEXP-5,0,5,331960.6886878742,260476.4441866198,1.2765416224489016e-06,4.687388159101687,17.29858393229925
30,3,4,power,GEXP-5,1,5,925535.2129239109,593072.242717863,1.0234671497082455e-06,40.635032937632104,10.777233104239214
30,3,5,power,GEXP-5,0,5,214334.30490665647,184414.57081247063,1.1279506261683432e-06,3.12999826193402,11.617737818110804
30,3,6,power,GEXP-5,1,5,47204.59955727986,45035.07676527911,1.6752476100981624e-06,17.36997982394496,10.941205052706783
30,3,7,power,GEXP-5,0,5,820518.0061876997,499410.98338569386,1.2289103845501337e-06,1.0375804539308326,9.022197056570368
30,3,8,power,GEXP-5,1,5,3345545.529460838,1046292.7712699972,9.320660806921636e-07,61.800792769387726,9.946376328836108
30,3,9,power,GEXP-5,0,5,161436.52275320323,140916.9591154522,1.3560569053396946e-06,7.662647328509118,16.7874011039757
