label,label_name,setting,n,method,rejection_rate,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,median_cond_sigma_hat,median_cond_sigma_reg,median_lambda,n_tests_per_cell_actual,B_boot_actual,alpha
6,normal colon mucosa,H1_source_vs_external,50,raw_pixel_gaussian5,0.7816,0.005842969108253098,0.7701477805478238,0.7930522194521761,33.04886035542008,10.91641846088363,28506753.63365043,46210.511500090564,9.155152229715995e-06,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,80,cnn_final_fc128_gaussian5,0.988,0.0015398701243936133,0.9849818545561885,0.9910181454438115,69.44714735972495,13.624531457162703,52789.35481273754,24354.91975530191,3.0633341067113906e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,80,cnn_multilayer_gaussian15,1.0,0.0,1.0,1.0,530.9062476051133,34.09916692272111,446688.3917918403,99758.40385732919,4.139658973756602e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,80,cnn_multilayer_single_gaussian,1.0,0.0,1.0,1.0,263.1577745815848,10.488144683153157,78.22337400842804,78.00957622405883,5.373058893475909e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,80,raw_pixel_gaussian5,0.9638,0.0026415737733404307,0.9586225154042527,0.9689774845957473,71.25714809473176,11.181936018990717,13544676.516686015,45225.178812892234,6.692492800659859e-06,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,100,cnn_final_fc128_gaussian5,0.9998,0.00019997999899988897,0.9994080392019602,1.0,104.94043267931747,13.610692766271077,51149.49951061979,24001.139292461157,2.9933345008950838e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,100,cnn_multilayer_gaussian15,1.0,0.0,1.0,1.0,793.1034564817389,33.97436114700074,420717.6487779714,98395.73800559781,4.0779778716460554e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,100,cnn_multilayer_single_gaussian,1.0,0.0,1.0,1.0,402.11984606008934,10.457018603977707,77.28912526176639,77.08046557612903,5.321159990075639e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,100,raw_pixel_gaussian5,0.9932,0.0011622185680843365,0.9909220516065547,0.9954779483934453,106.27040548957339,11.29501266637106,9860697.807404825,44843.962784380026,5.868695278160954e-06,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,20,cnn_final_fc128_gaussian5,0.5046,0.00707076855794333,0.4907412936264311,0.518458706373569,29.944759274612252,13.24281752479574,316935.4382216793,40177.60308152299,3.59360449413104e-05,5000,500,0.05
