"outer_iter","noise_sigma","method","reject_rate","source_dir"
8,0.4,"raw_pixel_gaussian5",0.804,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,0.4,"final_embedding_gaussian5",0.77,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,0.6,"raw_pixel_gaussian5",0.666,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,0.6,"final_embedding_gaussian5",0.218,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,0.8,"raw_pixel_gaussian5",0.374,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,0.8,"final_embedding_gaussian5",0.09,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,1,"raw_pixel_gaussian5",0.206,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
8,1,"final_embedding_gaussian5",0.114,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0,"raw_pixel_gaussian5",0.95,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0.2,"raw_pixel_gaussian5",0.9,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0.2,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0.4,"raw_pixel_gaussian5",0.836,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0.4,"final_embedding_gaussian5",0.792,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0.6,"raw_pixel_gaussian5",0.686,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0.6,"final_embedding_gaussian5",0.254,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0.8,"raw_pixel_gaussian5",0.418,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,0.8,"final_embedding_gaussian5",0.12,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,1,"raw_pixel_gaussian5",0.158,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
9,1,"final_embedding_gaussian5",0.088,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
