"n","method","power","q_mean","t_kern","t_cov","t_sel","t_boot","t_stat","t_total","rep"
300,"NEW_13",0.71,4.71,0.025104398727417,0.103884742259979,0.00303016185760498,0.191995136737823,0.18124006152153,0.505254501104355,1
300,"NEW_25",0.62,4,0.02498739361763,0.179549829959869,0.00291244983673096,0.182525222301483,0.160056421756744,0.550031317472458,1
400,"GEXP_5",0.84,5,0.145598584413528,0.597604023218155,0,0.898309819698334,0.685277503728867,2.32678993105888,1
400,"GEXP_rich_13",0.85,13,0.195086189508438,4.32441990613937,0,2.23581727981567,2.14884371638298,8.90416709184647,1
400,"NEW_13",0.865,4.725,0.111036912202835,0.265096669197083,0.00575331568717957,0.731194462776184,0.489750609397888,1.60283196926117,1
400,"NEW_25",0.85,4,0.131169627904892,0.551437294483185,0.00484935760498047,0.806162573099136,0.491430377960205,1.9850492310524,1
500,"GEXP_5",0.95,5,0.278616149425507,1.08517231225967,0,1.45265016317368,0.915806150436401,3.73224477529526,1
500,"GEXP_rich_13",0.905,13,0.319225174188614,5.61616233944893,0,2.69821974039078,2.79601208209991,11.4296193361282,1
500,"NEW_13",0.93,4.67,0.243484872579575,0.51559695482254,0.00650759220123291,1.46009125828743,0.887900025844574,3.11358070373535,1
500,"NEW_25",0.915,4,0.207402582168579,0.824174052476883,0.00580936551094055,1.14456857800484,0.676236757040024,2.85819133520126,1
600,"GEXP_5",0.975,5,0.538534317016602,1.99683643698692,0,2.51562869310379,1.69355108499527,6.74455053210258,1
600,"GEXP_rich_13",0.98,13,0.525224187374115,12.4013542854786,0,5.00179630875587,3.97216243982315,21.9005372214317,1
600,"NEW_13",0.965,4.645,0.216576482057571,0.414192571640015,0.00435737609863281,0.663181875944138,0.684330314397812,1.98263862013817,1
600,"NEW_25",0.955,4,0.328212336301804,1.28455683112144,0.00572358846664429,1.80032485246658,1.00051567435265,4.41933328270912,1
700,"GEXP_5",0.98,5,0.770337735414505,2.93715944886208,0,3.40524021267891,2.69139134645462,9.80412874341011,1
700,"GEXP_rich_13",1,13,0.670365359783173,14.4108488321304,0,5.70427088260651,5.16834668397903,25.9538317584991,1
700,"NEW_13",0.98,4.61,0.543038026094437,1.03181182742119,0.00622148156166077,2.67276951670647,1.67272811293602,5.92656896471977,1
700,"NEW_25",1,4,0.484237240552902,1.83464780330658,0.00340051054954529,2.52414380669594,1.41362121224403,6.260050573349,1
50,"GEXP_5",0.33,5,0.00315948486328125,0.0503643429279327,0,0.0620153796672821,0.103506251573563,0.219045459032059,2
50,"GEXP_rich_13",0.285,13,0.00607091665267944,0.189035084247589,0,0.141694886684418,0.244022965431213,0.5808238530159,2
50,"NEW_13",0.185,4.13,0.00102977156639099,0.00327947974205017,0.00319803953170776,0.0427940988540649,0.0792805826663971,0.129581972360611,2
50,"NEW_25",0.19,3.995,0.00224794268608093,0.00649962306022644,0.00436108112335205,0.050563200712204,0.0853884148597717,0.149060262441635,2
100,"GEXP_5",0.335,5,0.00681233525276184,0.0837987959384918,0,0.114935510158539,0.153158233165741,0.358704874515533,2
100,"GEXP_rich_13",0.35,13,0.0118244421482086,0.316314989328384,0,0.239707260131836,0.369994242191315,0.937840933799744,2
100,"NEW_13",0.23,4.485,0.00279970645904541,0.00988245129585266,0.00331311464309692,0.0560005855560303,0.0819398474693298,0.153935705423355,2
100,"NEW_25",0.225,4.015,0.00219419836997986,0.00998997449874878,0.00162656188011169,0.0300069975852966,0.0397330296039581,0.0835507619380951,2
200,"GEXP_5",0.575,5,0.0114971578121185,0.0612887299060822,0,0.118427733182907,0.127439804077148,0.318653424978256,2
200,"GEXP_rich_13",0.545,13,0.0179857516288757,0.367982178926468,0,0.27049614071846,0.398343749046326,1.05480782032013,2
200,"NEW_13",0.475,4.765,0.0222631299495697,0.0736157464981079,0.00526984095573425,0.341933846473694,0.242396000623703,0.685478564500809,2
200,"NEW_25",0.515,4.005,0.0273123145103455,0.148164777755737,0.00636041522026062,0.343840615749359,0.257153106927872,0.782831230163574,2
300,"GEXP_5",0.745,5,0.0863535451889038,0.481176608800888,0,0.711119604110718,0.502314385175705,1.78096414327621,2
300,"GEXP_rich_13",0.77,13,0.0926388692855835,2.3026654958725,0,1.25318613290787,1.15636468172073,4.80485517978668,2
300,"NEW_13",0.73,4.7,0.0675479388237,0.171568604707718,0.00544272422790527,0.61696587562561,0.400877850055695,1.26240299344063,2
