result_kind,experiment,scenario,setting,label,label_name,n,representation,projection_id,summary_scope,projection_repeats,outer_repetitions,inner_repetitions,tests_per_projection,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r12,per_projection,1,10,20,200,200,0.75,0.75,,0.030618621784789725,0.6899875013018122,0.8100124986981878,33.37820226429738,13.406187125324996,32352.085742017356,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r13,per_projection,1,10,20,200,200,0.24,0.24,,0.030199337741083,0.1808092980274773,0.2991907019725227,10.803763939331116,15.075979485388627,20852.927192046373,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r14,per_projection,1,10,20,200,200,0.47,0.47,,0.03529164207004259,0.4008283815427165,0.5391716184572835,20.4059226463385,14.49866429835045,22208.66003523936,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r15,per_projection,1,10,20,200,200,0.205,0.205,,0.028546015483776367,0.14904980965179832,0.26095019034820166,9.18532932377498,14.17048612956819,25587.917364471556,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r16,per_projection,1,10,20,200,200,0.755,0.755,,0.030411757594719844,0.6953929551143491,0.8146070448856509,40.455274747816205,13.514034045591133,28258.73767746149,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r17,per_projection,1,10,20,200,200,0.195,0.195,,0.028015620642777128,0.14008938354015682,0.2499106164598432,9.830195371408053,13.945099683885669,26436.387683767498,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r18,per_projection,1,10,20,200,200,0.505,0.505,,0.03535357124817803,0.4357070003535711,0.574292999646429,18.701594491288667,13.803252778473926,27783.3261992844,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r19,per_projection,1,10,20,200,200,0.22,0.22,,0.02929163703175362,0.1625883914177629,0.2774116085822371,9.601734936028162,14.768277575212633,18845.113649478833,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,final_full,none,single,1,10,20,200,200,0.36,0.36,,0.03394112549695428,0.2934753940259696,0.42652460597403036,13.866151899918082,13.638969496879415,28121.22620871803,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,centered_logits,none,single,1,10,20,200,200,0.925,0.925,,0.01862458053218917,0.8884958221569093,0.9615041778430908,41.011619287765214,12.926995647314115,30888.90543402083,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,semantic_centered,none,single,1,10,20,200,200,0.92,0.92,,0.019183326093250873,0.8824006808572283,0.9575993191427717,35.798215174777695,12.123013236757801,36581.401865756445,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_full,none,single,1,10,20,200,200,0.815,0.815,,0.027456784225396828,0.7611847029182222,0.8688152970817777,29.72473979976221,13.69217088503492,24263.989790133182,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_top8_pca,none,single,1,10,20,200,200,0.735,0.735,,0.031206970375222264,0.6738343380645644,0.7961656619354356,27.282691320405284,13.978696246709797,22551.865945606936,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,aggregate20,aggregate,20,10,20,200,4000,0.66125,0.66125,,0.007483288673771713,0.6465827541994075,0.6759172458005925,32.57685239282971,14.120132504886255,22183.233879080286,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r00,per_projection,1,10,20,200,200,0.535,0.535,,0.03526861210765175,0.4658735202690026,0.6041264797309974,19.08876156860549,14.104287961567998,23866.374440031665,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r01,per_projection,1,10,20,200,200,0.285,0.285,,0.03191982142807193,0.222437150000979,0.347562849999021,12.642823949085637,14.045430321136003,22259.247484665568,500,0.05
