result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,bootstrap_rejection_rate,permutation_rejection_rate,bootstrap_binomial_se,permutation_binomial_se,mean_stat,mean_bootstrap_cutoff,mean_permutation_cutoff,mean_cond_sigma_reg,B_boot,B_perm,alpha
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,centered_logits,10,20,200,0.335,0.405,0.0333747659167821,0.0347113093962184,12.22855701788847,12.482864616626852,10.2645900427632,35982.31062023454,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,semantic_centered,10,20,200,0.315,0.42,0.032846232660687286,0.034899856733230296,11.618973799381854,12.883471237904654,10.258516270762103,33936.6784574243,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_full,10,20,200,0.705,0.71,0.03224709289222828,0.03208582241426889,46.53328073965652,13.36385065638484,13.890355816659575,35403.43882468964,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,residual_top8_pca,10,20,200,0.655,0.705,0.033613613313656115,0.03224709289222828,46.02826878749134,13.580601050858625,13.997700921341112,33481.88521310275,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,final_full,10,20,200,0.715,0.73,0.03191982142807193,0.03139267430468452,44.48439204223942,13.077404847634561,13.59588412940699,36790.20517561398,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,centered_logits,10,20,200,0.66,0.77,0.03349626844888845,0.02975735203273302,25.567558168911905,12.477261866300537,9.369243154539534,33307.819077989894,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,semantic_centered,10,20,200,0.715,0.825,0.03191982142807193,0.02686773157525585,25.842045513866907,12.722357243428359,9.40527735639195,30357.85357913127,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,residual_full,10,20,200,0.97,0.975,0.012062338081814825,0.011039701082909813,83.50698445653325,13.12950552573293,12.220965384511983,32177.62155173515,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,residual_top8_pca,10,20,200,0.96,0.97,0.013856406460551024,0.012062338081814825,82.66538084617892,13.244602629101847,12.377893470537959,30229.913126779655,500,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,final_full,10,20,200,0.97,0.975,0.012062338081814825,0.011039701082909813,81.7574844232113,12.989728862119678,11.900839106267018,33822.3450268372,500,500,0.05
