outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
2,5,type1_a,NEW-MMMD,0,4,37245.11174319586,34717.54158725862,1.1552253425509106e-06,0.35091424669186644,13.959530616888747
2,6,type1_a,GEXP-5,0,5,48810314.71405948,1633498.6074008385,3.9288848652486305e-07,2.0011572623378697,16.60767682210147
2,6,type1_a,NEW-MMMD,0,4,58298.508311685204,52752.343694775765,1.1754735935869627e-06,2.178031094067066,8.951208549388587
2,7,type1_a,GEXP-5,0,5,24486952.76438356,1506677.0873501445,4.6350043086161834e-07,1.0682536470956752,7.670103612835657
2,7,type1_a,NEW-MMMD,0,4,43046.202381002695,39838.32954624011,1.35452868302636e-06,1.0494878000910157,7.324887617031462
2,8,type1_a,GEXP-5,0,5,20676507.08558557,1656654.3676575082,3.3967751637628896e-07,2.8993572877108686,12.397025008155593
2,8,type1_a,NEW-MMMD,0,4,53069.21594593264,48756.4554738823,1.0199381311032187e-06,2.834380963149994,7.567816487612996
2,1,type1_b,GEXP-5,0,5,4095534.6709277406,1113294.5578166535,3.9588198038312434e-07,0.22395780720053082,9.413361760599082
2,1,type1_b,NEW-MMMD,0,4,22216.18640421335,21314.70739873973,1.1245263045822211e-06,0.21900479140136855,9.412896109169388
2,2,type1_b,GEXP-5,0,5,102931804.11088115,1803193.3409499375,3.1804124111595633e-07,1.5091602653970462,6.91015887466132
2,2,type1_b,NEW-MMMD,0,3,576.4587954894805,575.6815951462955,9.743898210341388e-07,1.4311826135401462,6.366563806392972
2,3,type1_b,GEXP-5,0,5,19415626.453525066,1466320.9487131792,3.845670278704566e-07,1.6521685227501592,20.157278638518537
2,3,type1_b,NEW-MMMD,0,4,32983.07791949059,31058.91009946948,1.1184060548186456e-06,1.3844545396875088,10.85164033915255
2,4,type1_b,GEXP-5,0,5,6967994.66542834,1316808.5457221682,4.049844867685443e-07,0.9985009225953903,6.221933606667382
2,4,type1_b,NEW-MMMD,0,4,47068.37134726962,43364.017599486186,1.1772466856952736e-06,1.0038117535490514,17.404029530211503
2,5,type1_b,GEXP-5,0,5,11068195.922016747,1308402.5594034179,4.087558435611323e-07,0.692764632743021,19.019625017689307
2,5,type1_b,NEW-MMMD,0,4,24476.083646306575,23354.176337074336,1.1520871580737649e-06,0.7220038092726986,23.352790189041055
2,6,type1_b,GEXP-5,0,5,96289823.10333419,1724709.366669381,3.676502453743119e-07,2.798269116845404,11.738180191620442
2,6,type1_b,NEW-MMMD,0,3,583.4409181440697,582.614393826004,1.1098940111502644e-06,1.7363443572406796,6.838405597811984
2,7,type1_b,GEXP-5,0,5,26898067.643592916,1584712.6002269886,4.223707952781757e-07,8.031926566531354,9.816369674857489
2,7,type1_b,NEW-MMMD,0,4,63270.718827065,56762.29385195659,1.2618354939180033e-06,4.625430121123699,7.725329933050587
2,8,type1_b,GEXP-5,0,5,43301849.62897936,1590988.775697753,3.8207546898847677e-07,2.125208517611455,20.351927673351888
2,8,type1_b,NEW-MMMD,0,3,487.2778871979135,486.6776575761775,1.1235221973069153e-06,2.1140554018167017,11.215793759351257
