result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
type1,color_adjusted_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,30,semantic_centered_color_adjusted,10,20,200,0.07,,0.07,0.01804161855266872,0.03463842763676932,0.1053615723632307,4.819957253414453,13.175280186903201,31008.281538798776,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,50,residual_full_color_adjusted,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,4.874232905406303,14.086042518588421,19778.048461936993,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,50,residual_top8_pca_color_adjusted,10,20,200,0.055,,0.055,0.016120638945153507,0.02340354766749913,0.08659645233250088,4.812681245258847,14.093038160770512,18661.985314977246,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,50,semantic_centered_color_adjusted,10,20,200,0.055,,0.055,0.016120638945153507,0.02340354766749913,0.08659645233250088,4.342590546481339,12.952560624638318,26243.7372363244,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,residual_full_color_adjusted,10,20,200,0.125,,0.125,0.023385358667337135,0.07916469701201923,0.17083530298798077,8.68381626721827,14.021195773887548,30751.232602384986,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca_color_adjusted,10,20,200,0.115,,0.115,0.022558257911461158,0.07078581449353613,0.15921418550646388,8.26930078633514,14.10791214261792,28375.641764513486,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,semantic_centered_color_adjusted,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,11.024631897933482,13.689491627276775,32492.123536688538,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_full_color_adjusted,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,6.603486502955889,13.968162598963625,24409.51344311908,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_top8_pca_color_adjusted,10,20,200,0.085,,0.085,0.01971991379291502,0.04634896896588657,0.12365103103411344,6.517749119136822,14.081681846069273,22548.644564317725,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,semantic_centered_color_adjusted,10,20,200,0.09,,0.09,0.02023610634484806,0.0503372315640978,0.1296627684359022,5.702028663701156,13.610839705257062,27097.82896989895,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_full_color_adjusted,10,20,200,0.045,,0.045,0.014658615214269049,0.016269114180032664,0.07373088581996734,4.26247343969172,14.086899303280315,18886.350715306227,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_top8_pca_color_adjusted,10,20,200,0.04,,0.04,0.013856406460551017,0.012841443337320006,0.06715855666268,4.402026250437849,14.25551846305631,17685.934095167686,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,semantic_centered_color_adjusted,10,20,200,0.04,,0.04,0.013856406460551017,0.012841443337320006,0.06715855666268,4.067970097263196,13.483927274984767,23203.388505685492,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_full_color_adjusted,10,20,200,0.115,,0.115,0.022558257911461158,0.07078581449353613,0.15921418550646388,7.115581142465431,13.11610061525212,37278.72959399926,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca_color_adjusted,10,20,200,0.115,,0.115,0.022558257911461158,0.07078581449353613,0.15921418550646388,7.375172939252093,13.28024678033045,35149.39856715418,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,semantic_centered_color_adjusted,10,20,200,0.12,,0.12,0.022978250586152115,0.07496262885114185,0.16503737114885814,6.6977542939478845,13.223212744107595,36680.71949013979,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_full_color_adjusted,10,20,200,0.1,,0.1,0.021213203435596427,0.05842212126623101,0.141577878733769,8.400494077017672,13.250276364887783,32695.061748537813,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_top8_pca_color_adjusted,10,20,200,0.105,,0.105,0.021676600286945368,0.06251386343758708,0.1474861365624129,8.0916893568875,13.348191920725835,30454.448093067902,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,semantic_centered_color_adjusted,10,20,200,0.08,,0.08,0.01918332609325088,0.04240068085722828,0.11759931914277172,5.416496210451919,12.869286317519448,32609.146739199725,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_full_color_adjusted,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,5.330461693670409,13.084602759746808,28052.13206490147,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_top8_pca_color_adjusted,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,5.285960925203804,13.171664176069257,26196.191948310257,500,0.05
type1,color_adjusted_center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,semantic_centered_color_adjusted,10,20,200,0.06,,0.06,0.016792855623746664,0.027086002977456537,0.09291399702254347,5.353241971283476,13.07591946531602,28961.511661668326,500,0.05
