train_label,train_label_name,test_label,test_label_name,representation,axis_method,repeat,train_source_n,train_external_n,test_source_n,test_external_n,auc,accuracy,effect_size
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,6,863,863,370,370,0.7172753834915997,0.6581081081081082,0.843302777307343
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,7,863,863,370,370,0.8487655222790358,0.7837837837837838,1.4252814775513252
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,7,863,863,370,370,0.7131190650109569,0.6621621621621622,0.8142289845827563
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,8,863,863,370,370,0.8573776479181885,0.7918918918918919,1.4925321275415027
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,8,863,863,370,370,0.7370489408327247,0.672972972972973,0.9272381190638237
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,9,863,863,370,370,0.8588312636961286,0.7918918918918919,1.534790161364973
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,9,863,863,370,370,0.7197589481373265,0.6662162162162162,0.8510939928520225
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,10,863,863,370,370,0.8678670562454346,0.8027027027027027,1.5662647042748845
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,10,863,863,370,370,0.7195252008765523,0.6783783783783783,0.8442166984186251
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,11,863,863,370,370,0.879963476990504,0.8135135135135135,1.6259324646527864
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,11,863,863,370,370,0.7468444119795471,0.6878378378378378,0.9651076674915843
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,12,863,863,370,370,0.8747845142439737,0.8067567567567567,1.5975465160022255
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,12,863,863,370,370,0.7611614317019723,0.6878378378378378,1.0434757371975791
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,13,863,863,370,370,0.8606574141709277,0.7878378378378378,1.4985295971985935
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,13,863,863,370,370,0.7367129291453616,0.6648648648648648,0.900840817019021
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,14,863,863,370,370,0.8692184075967859,0.8094594594594594,1.5746493381803157
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,14,863,863,370,370,0.7647626004382762,0.6959459459459459,1.0519095248523154
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,15,863,863,370,370,0.8747041636230826,0.8094594594594594,1.576054316540044
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,15,863,863,370,370,0.7300803506208912,0.6797297297297298,0.8932115091972774
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,16,863,863,370,370,0.8760774287801315,0.8054054054054054,1.5967655963281724
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,16,863,863,370,370,0.7304017531044558,0.6756756756756757,0.8835015275438752
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,17,863,863,370,370,0.8685536888239591,0.7932432432432432,1.5775621136279416
