sample_size,outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
30,2,2,power,GEXP-5,0,5,581675612.8316227,3460679.941982189,1.8168862527269656e-07,0.6193739450984914,11.928939294852551
30,2,3,power,GEXP-5,0,5,160712560.0181745,3238752.5066617774,1.912917091828267e-07,3.618268284543447,14.15506805855401
30,2,4,power,GEXP-5,0,5,1316721101.1084938,3749557.438707597,1.6591794716361274e-07,3.0241098701558045,11.565374609009773
30,2,5,power,GEXP-5,0,5,658520816.6679878,3701457.2389922966,1.6524179639710884e-07,1.7666321337781952,16.31748666041624
30,2,6,power,GEXP-5,0,5,344311658.285681,3478697.993644279,1.7820917843047926e-07,2.102260355935453,12.122211571521529
30,2,7,power,GEXP-5,0,5,2313555890.086477,3903477.5147938314,1.5531077622436096e-07,1.5200228578650794,9.24045300163518
30,2,8,power,GEXP-5,0,5,932933251.9479657,3810868.320386747,1.5978234357707925e-07,2.39292471118765,9.243054938779077
30,2,9,power,GEXP-5,0,5,1569695481.2391841,3834018.4705220703,1.58457980909457e-07,1.5784191631233604,10.301665689695744
30,2,10,power,GEXP-5,0,5,861992615.0745827,4085725.6443009498,1.4557894453585514e-07,3.6024983633339835,13.84223238885733
30,2,11,power,GEXP-5,0,5,480479774.59310067,3488848.1862539765,1.7568895722247726e-07,1.3543048416471954,11.257542932948065
30,2,12,power,GEXP-5,0,5,271788939.5013775,3176880.9906039983,1.9987338936803808e-07,5.06996748288509,9.695042487986305
30,2,13,power,GEXP-5,0,5,1111285201.5310779,3693168.6923541436,1.674824241780447e-07,2.7928935836824076,13.678264657474914
30,2,14,power,GEXP-5,0,5,1115975533.7385752,3437791.891689816,1.8380646994822724e-07,1.1809494497413429,9.656821657185654
30,2,15,power,GEXP-5,0,5,1415715961.3490047,3954313.0225883364,1.4940291020683798e-07,3.1159628908958155,10.936391766060463
30,2,16,power,GEXP-5,0,5,272759124.4144326,3732896.748057632,1.60709019427421e-07,1.345376712045962,14.150465049829833
30,2,17,power,GEXP-5,0,5,1167071002.839495,3691986.993425881,1.6451503132559573e-07,1.455462470559667,13.577374133058575
30,2,18,power,GEXP-5,0,5,577089648.4218369,3465274.7868087855,1.8078447899190234e-07,0.5664419348673091,12.40404039966312
30,2,19,power,GEXP-5,0,5,729052727.2470936,3929279.377493033,1.5359592077814148e-07,2.296961349207941,13.328565439315511
30,2,20,power,GEXP-5,0,5,962687932.7120154,3534433.097513074,1.7164686007771567e-07,1.7633472927222016,14.550168594359459
30,3,1,power,GEXP-5,1,5,595457055.1177814,3562748.011135457,1.7666229544559384e-07,10.731925505692637,10.072056784335349
30,3,2,power,GEXP-5,0,5,92593881.99295153,3171235.899224397,1.9046993133294327e-07,1.7419498242408569,11.04826130611644
30,3,3,power,GEXP-5,0,5,1640168123.6923056,3767714.811561145,1.5983107494170444e-07,4.170098212878912,11.707581373300396
30,3,4,power,GEXP-5,0,5,992803662.7256652,3442725.5483164703,1.828539418574197e-07,9.574513757185741,9.766441085351497
30,3,5,power,GEXP-5,0,5,437110224.88804376,3742361.355507832,1.6468136776761286e-07,0.9519889005748112,10.291410076234719
30,3,6,power,GEXP-5,0,5,123441178.17238161,3349721.9939996647,1.7803467243454915e-07,1.7816376981140962,13.094621410029255
30,3,7,power,GEXP-5,0,5,577809776.7990545,3545800.9211737597,1.737672050859628e-07,3.841302144959908,11.172464359990926
30,3,8,power,GEXP-5,0,5,953583265.0888085,3647377.808455908,1.6687767539298478e-07,2.073908105492261,12.29587365659806
30,3,9,power,GEXP-5,0,5,916532828.5250208,3598198.6241016085,1.7021828009518658e-07,1.0827649916412478,9.813057965936501
