train_label,train_label_name,test_label,test_label_name,representation,axis_method,repeat,train_source_n,train_external_n,test_source_n,test_external_n,auc,accuracy,effect_size
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,11,863,863,370,370,0.7875383491599708,0.7135135135135136,1.0649833829704156
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,11,863,863,370,370,0.7574068663257852,0.6918918918918919,0.9761940952224188
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,12,863,863,370,370,0.7737691745799854,0.6905405405405406,1.0583566299425466
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,12,863,863,370,370,0.7369393718042366,0.6743243243243243,0.8945272236741317
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,13,863,863,370,370,0.7923666910153396,0.7013513513513514,1.1361544114119997
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,13,863,863,370,370,0.7601168736303872,0.6851351351351351,0.9895853046732986
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,14,863,863,370,370,0.7708838568298028,0.6851351351351351,1.0533595682895283
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,14,863,863,370,370,0.7516435354273192,0.6837837837837838,0.9551370037449637
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,15,863,863,370,370,0.7718553688823959,0.7013513513513514,0.981316160761492
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,15,863,863,370,370,0.7225712198685171,0.6594594594594595,0.7951586274446396
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,16,863,863,370,370,0.7761723886048211,0.6959459459459459,1.0303342506189088
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,16,863,863,370,370,0.7283199415631848,0.677027027027027,0.831182212864494
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,17,863,863,370,370,0.7795982468955442,0.6959459459459459,1.0254368876175208
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,17,863,863,370,370,0.7385756026296567,0.6824324324324325,0.8841307124047152
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,18,863,863,370,370,0.7918480642804967,0.7135135135135136,1.070073147689017
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,18,863,863,370,370,0.7403287070854638,0.6716216216216216,0.901733881137699
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,19,863,863,370,370,0.7794229364499635,0.7027027027027027,1.0523528123073675
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,19,863,863,370,370,0.7412490869247625,0.6743243243243243,0.9150475522610881
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,logistic_regression,20,863,863,370,370,0.7659897735573411,0.6851351351351351,0.9797547479740398
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,color15,mean_difference,20,863,863,370,370,0.7115047479912345,0.6554054054054054,0.7697967777019938
